GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests,StayingDuration,DaysUntilCheckIn
1548,Larry Keeling,Male,40,Azerbaijani,9/21/2018,9/27/2018,10/4/2018,1,3,1,Leisure,Early Check-Out,Regular Guest,7,6
1549,Yann Cormier,Male,47,Indian,5/30/2020,6/17/2020,6/18/2020,1,3,1,Leisure,Completed,Regular Guest,3,17
1550,Michele Burch,Female,39,Indian,6/17/2022,6/24/2022,6/30/2022,1,3,1,Leisure,Completed,First-Time Visitor,6,7
1551,Young Jong,Female,66,Russian,8/16/2020,10/1/2020,10/3/2020,1,3,1,Leisure,Completed,First-Time Visitor,4,15
1552,Irene Ingram,Male,38,Russian,2/1/2023,2/12/2023,2/13/2023,0,2,1,Business,Late Check-Out,First-Time Visitor,3,17
1553,Lauren Taylor,Female,31,Russian,6/5/2019,6/22/2019,6/25/2019,0,2,1,Corporate,Completed,Regular Guest,3,17
1554,Joe Stevens,Male,36,Russian,1/1/2023,2/1/2023,2/10/2023,2,3,1,Leisure,Late Check-Out,First-Time Visitor,9,7
1555,Mackenzie Satterfield,Male,54,Russian,6/7/2019,8/20/2019,8/23/2019,1,3,1,Leisure,Completed,Regular Guest,3,9
1556,Karen Price,Male,30,Azerbaijani,7/22/2023,8/28/2023,8/29/2023,1,3,1,Leisure,Completed,Regular Guest,3,17
1557,Herman Koch,Female,38,Russian,4/15/2015,6/21/2015,6/23/2015,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,15
1558,Lucy Oconnor,Male,50,Russian,9/19/2022,9/19/2022,9/22/2022,0,2,1,Corporate,Completed,Regular Guest,3,12
1559,Kari Love,Male,38,Azerbaijani,3/27/2018,5/19/2018,5/24/2018,1,3,1,Leisure,Completed,Regular Guest,5,15
1560,Alejandro Gutierrez,Male,23,Azerbaijani,9/27/2019,11/30/2019,12/3/2019,1,3,1,Leisure,Completed,Regular Guest,3,15
1561,Dorothy Edmonds,Female,38,Indian,6/20/2019,8/23/2019,8/24/2019,1,3,1,Leisure,Completed,Regular Guest,3,15
1562,Mrs Sharon Cormier,Female,36,Azerbaijani,4/6/2023,4/13/2023,4/23/2023,1,3,1,Leisure,Completed,First-Time Visitor,34,7
1563,Robin Eberhard,Female,44,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Early Check-Out,First-Time Visitor,9,7
1564,Larry Park,Male,25,Iranian,8/4/2016,8/4/2016,8/5/2016,1,3,1,Leisure,Completed,Regular Guest,3,12
1565,Mr Rory Doyle,Male,54,Russian,1/13/2016,2/26/2016,3/3/2016,1,3,2,Leisure,Completed,Regular Guest,6,15
1566,Aaron and Katie,Male,56,Azerbaijani,6/1/2022,8/15/2022,8/17/2022,0,2,1,Business,Completed,First-Time Visitor,4,16
1567,Jade de Grassi,Male,47,Azerbaijani,12/3/2021,2/3/2022,2/7/2022,0,2,1,Business,Completed,Regular Guest,4,15
1568,Sarah James,Female,50,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1569,Marjorie Ashton,Male,30,Russian,11/18/2019,11/18/2019,11/19/2019,1,3,1,Leisure,Completed,Regular Guest,3,12
1570,Marie Sweatt,Male,52,Russian,10/23/2020,10/23/2020,10/28/2020,1,3,1,Leisure,Completed,First-Time Visitor,5,12
1571,Jillian Garrett,Male,41,American,8/28/2020,8/29/2020,8/31/2020,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,8
1572,Justin Vandervort,Male,28,American,5/26/2018,7/11/2018,7/12/2018,1,3,1,Leisure,Completed,First-Time Visitor,3,15
1573,Bridgette Gutknecht,Male,34,Russian,6/9/2022,8/19/2022,8/20/2022,1,3,1,Leisure,Completed,Regular Guest,3,16
1574,Ryan Roberts,Male,53,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1575,Jovan Bittick,Male,35,Turkish,8/9/2018,9/27/2018,10/10/2018,1,3,1,Leisure,Late Check-Out,First-Time Visitor,33,15
1576,Daryl Hall,Female,33,Azerbaijani,2/10/2019,2/10/2019,2/13/2019,0,3,1,Business,Completed,First-Time Visitor,3,12
1577,Mary Schmidt,Female,30,Azerbaijani,6/1/2019,6/2/2019,6/4/2019,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,8
1578,Timothy Miller,Male,26,Azerbaijani,8/23/2016,8/23/2016,8/24/2016,1,3,1,Leisure,Completed,First-Time Visitor,3,12
1579,Mrs Hettie Hirthe,Female,22,Azerbaijani,12/28/2019,12/28/2019,12/29/2019,0,2,1,Corporate,Completed,Regular Guest,3,12
1580,Bob Cornett,Male,23,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Late Check-Out,First-Time Visitor,9,7
1581,Mrs Rae Lyons,Male,27,Russian,11/28/2016,12/14/2016,12/16/2016,0,2,1,Corporate,Completed,First-Time Visitor,4,16
1582,Mr Tyrone Hesselink,Male,53,Russian,7/26/2022,7/27/2022,8/7/2022,1,3,1,Leisure,Completed,First-Time Visitor,33,8
1583,Branson Mackenzie,Male,31,Russian,10/22/2022,10/22/2022,10/25/2022,1,3,1,Leisure,Completed,First-Time Visitor,3,12
1584,Parker Alexander,Female,35,Iranian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1585,Roger Gallardo,Male,40,Azerbaijani,8/6/2019,8/15/2019,8/18/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,9
1586,Mr Clifford Chambliss,Male,52,Azerbaijani,8/5/2022,8/8/2022,8/11/2022,0,2,1,Business,Completed,Regular Guest,3,9
1587,John Smith,Male,37,Azerbaijani,2/11/2018,3/1/2018,3/9/2018,0,2,1,Corporate,Completed,Regular Guest,8,17
1588,Brittany Keyes,Male,33,Azerbaijani,9/17/2019,10/28/2019,10/29/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,15
1589,Doug and Miranda,Female,27,Turkish,3/14/2019,3/15/2019,3/17/2019,1,3,1,Leisure,Early Check-Out,First-Time Visitor,4,8
1590,Roger Collier,Male,35,Russian,6/28/2023,6/30/2023,7/1/2023,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,7
1591,Cruz Diane,Male,33,Turkish,12/7/2022,2/5/2023,2/6/2023,1,3,1,Leisure,Completed,First-Time Visitor,3,21
1592,Rebecca Louie,Female,49,Russian,4/19/2019,6/22/2019,6/27/2019,1,3,1,Leisure,Completed,Regular Guest,5,15
1593,Vidya,Male,45,Indian,4/26/2018,6/20/2018,6/23/2018,0,3,1,Corporate,Completed,First-Time Visitor,3,30
1594,Elisabeth,Male,38,Azerbaijani,10/24/2018,1/1/2019,1/5/2019,1,3,1,Leisure,Completed,Regular Guest,4,15
1595,Mr Rathan,Female,28,Indian,5/25/2019,7/20/2019,7/23/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,30
1596,Deborah,Male,31,Azerbaijani,6/11/2018,8/4/2018,8/5/2018,1,3,1,Leisure,Completed,Regular Guest,3,30
1597,Elizabeth Nichols,Male,27,Russian,8/23/2019,8/24/2019,8/25/2019,1,3,1,Leisure,Late Check-Out,Regular Guest,3,8
1598,Pamela Serrano,Male,34,Saudi Arabian,8/11/2021,8/12/2021,8/13/2021,1,3,1,Leisure,Completed,First-Time Visitor,3,8
1599,Braxton Crosby,Male,51,Turkish,10/9/2020,10/13/2020,10/16/2020,1,3,2,Leisure,Completed,First-Time Visitor,3,6
1600,Richard Krajewski,Male,45,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1601,LYLE BAKER,Male,39,Iranian,9/22/2016,10/6/2016,10/12/2016,1,3,1,Leisure,Completed,First-Time Visitor,6,16
1602,Smith M,Male,34,Azerbaijani,4/18/2023,5/7/2023,5/10/2023,1,3,1,Leisure,Completed,Regular Guest,3,17
1603,Rickie Mueller,Female,34,Iranian,7/2/2019,7/2/2019,7/2/2019,0,2,1,Corporate,Completed,First-Time Visitor,4,12
1604,Bethany Herman,Male,39,Iranian,9/4/2022,9/24/2022,9/25/2022,0,2,2,Business,Completed,Regular Guest,3,21
1605,Hannah Smith,Male,34,Azerbaijani,3/21/2021,4/3/2021,4/7/2021,1,3,1,Leisure,Completed,First-Time Visitor,4,17
1606,Anthony Medina,Male,44,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1607,James Lombardi,Male,41,Russian,4/13/2015,7/1/2015,7/5/2015,0,2,1,Business,Completed,Regular Guest,4,5
1608,Mr Kimberly Aguilar,Female,58,Russian,9/10/2022,9/26/2022,9/30/2022,1,3,1,Leisure,Completed,First-Time Visitor,4,16
1609,Mikey Marquez,Female,46,Azerbaijani,10/18/2021,12/29/2021,12/30/2021,1,3,1,Leisure,Late Check-Out,First-Time Visitor,3,16
1610,Grover Wadkins,Male,30,Russian,12/10/2019,1/1/2020,1/1/2020,0,2,1,Corporate,Completed,First-Time Visitor,4,16
1611,Jacob Croom,Female,23,Russian,2/22/2023,2/27/2023,3/2/2023,1,3,1,Leisure,Completed,First-Time Visitor,3,5
1612,Lila Burnett,Male,64,Russian,4/12/2019,4/12/2019,4/12/2019,1,3,1,Leisure,Completed,Regular Guest,4,12
1613,Karolina Kassulke,Male,24,Turkish,9/8/2017,9/8/2017,9/10/2017,1,3,1,Leisure,Completed,Regular Guest,4,12
1614,Miguel OConnor,Female,46,Iranian,8/31/2016,9/1/2016,9/4/2016,1,3,1,Leisure,Completed,First-Time Visitor,3,8
1615,Javed Fuentes,Male,51,Iranian,9/13/2016,9/13/2016,9/14/2016,1,3,1,Leisure,Completed,First-Time Visitor,3,12
1616,Michael Rojas,Female,29,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,7
1617,Jonathan Dietrich,Female,38,Azerbaijani,6/19/2016,6/20/2016,6/21/2016,0,2,1,Corporate,Completed,Regular Guest,3,8
1618,Jaylen Deleon,Male,45,Turkish,5/10/2019,5/17/2019,5/22/2019,1,3,1,Leisure,Completed,First-Time Visitor,5,7
1619,Bradley Prahl,Female,51,Russian,2/23/2016,3/8/2016,3/10/2016,1,3,1,Leisure,Completed,First-Time Visitor,4,16
210,Angelica Gutierrez,Female,45,Indian,5/14/2020,6/22/2020,6/24/2020,1,3,1,Leisure,Completed,First-Time Visitor,4,17
211,William Gardner,Male,36,Turkish,7/30/2018,8/28/2018,9/2/2018,1,3,1,Leisure,Completed,First-Time Visitor,5,5
212,Mr Andy Mcintosh,Male,34,Azerbaijani,10/6/2019,11/19/2019,11/24/2019,1,3,1,Leisure,Completed,First-Time Visitor,5,15
213,Mrs Jordan Parker,Male,34,Russian,10/16/2020,10/16/2020,10/17/2020,0,2,1,Business,Completed,Regular Guest,3,12
214,Brian Beaupre,Male,36,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
215,James Porter,Male,41,Turkish,10/1/2019,10/2/2019,10/5/2019,0,2,1,Corporate,Late Check-Out,First-Time Visitor,3,8
216,Mr Drew Ely,Female,29,Russian,1/8/2019,2/10/2019,2/11/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,17
217,Burgess Finley,Male,29,Russian,5/30/2017,7/18/2017,7/19/2017,1,3,1,Leisure,Completed,First-Time Visitor,3,15
218,Rita Cronin,Female,53,Azerbaijani,4/21/2019,4/22/2019,4/26/2019,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,8
219,Rosanne Stevens,Male,56,Iranian,8/12/2021,8/22/2021,8/26/2021,0,2,1,Business,Late Check-Out,First-Time Visitor,4,21
1630,Marvin,Female,20,Azerbaijani,3/17/2023,5/4/2023,5/9/2023,1,3,1,Leisure,Completed,Regular Guest,5,15
1631,Philippe Boucher,Male,37,Indian,9/6/2019,9/14/2019,9/18/2019,1,3,1,Leisure,Completed,Regular Guest,4,8
1632,Katarina Ebert,Male,33,Indian,6/6/2023,6/8/2023,6/12/2023,0,2,1,Business,Completed,First-Time Visitor,4,7
1633,Mrs Belle Mccoy MD,Male,35,Russian,2/25/2019,2/27/2019,3/2/2019,0,2,1,Corporate,Completed,First-Time Visitor,3,7
1634,Jeremy Lowe,Male,61,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,Regular Guest,9,7
1635,Killington,Female,30,Saudi Arabian,2/2/2019,2/2/2019,2/3/2019,1,3,1,Leisure,Completed,Regular Guest,3,12
1636,Ashley Smith,Male,21,Turkish,5/3/2022,5/6/2022,5/7/2022,1,3,1,Leisure,Late Check-Out,Regular Guest,3,9
1637,Daniela Stark,Male,37,Russian,3/18/2019,5/8/2019,5/11/2019,0,2,1,Corporate,Completed,First-Time Visitor,3,15
1638,Mrs Shannon Reddy,Female,30,Russian,7/19/2021,8/22/2021,8/23/2021,1,3,1,Leisure,Completed,First-Time Visitor,3,13
1639,Joe Lopez,Male,53,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1640,Mrs Evangeline Funk,Male,26,Russian,2/22/2023,2/24/2023,2/25/2023,1,3,1,Leisure,Completed,Regular Guest,3,7
1641,Dennis Cox,Male,52,Azerbaijani,12/19/2020,12/21/2020,12/23/2020,1,3,1,Leisure,Completed,Regular Guest,4,7
1642,Jonathan Patterson,Male,44,Russian,5/22/2019,5/23/2019,5/27/2019,1,3,1,Leisure,Completed,First-Time Visitor,4,8
1643,Gianna Curtis,Female,45,Saudi Arabian,9/16/2019,9/20/2019,9/21/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,6
1644,Davina Koch,Male,45,Iranian,9/6/2019,9/7/2019,9/17/2019,0,2,1,Business,Completed,First-Time Visitor,34,8
1645,Keesa Graff,Male,24,Russian,1/21/2022,1/27/2022,1/30/2022,1,3,1,Leisure,Late Check-Out,First-Time Visitor,3,6
1646,Alesha Tiffany,Male,25,Iranian,1/12/2019,1/26/2019,1/29/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,16
1647,Charles Chadwick,Male,27,Russian,9/9/2022,9/10/2022,9/11/2022,1,3,1,Leisure,Completed,First-Time Visitor,3,8
1648,Mr Drew Hess,Male,37,Russian,12/1/2019,12/1/2019,12/3/2019,0,2,2,Business,Completed,First-Time Visitor,4,12
1649,Brittany Huen,Male,42,Azerbaijani,9/20/2019,9/20/2019,9/22/2019,0,2,1,Business,Completed,Regular Guest,4,12
1650,Mrs Eula Neville,Male,21,Russian,1/1/2015,1/19/2015,1/21/2015,1,3,1,Leisure,Completed,First-Time Visitor,4,21
1651,Jasmine Tyson,Male,22,Russian,4/14/2019,4/21/2019,4/28/2019,1,3,1,Leisure,Completed,First-Time Visitor,7,7
1652,Josephine Mckinney,Female,41,Saudi Arabian,5/18/2021,6/19/2021,6/23/2021,1,3,1,Leisure,Early Check-Out,First-Time Visitor,4,17
1653,James Baker,Female,61,Indian,11/5/2016,1/18/2017,1/20/2017,0,3,1,Business,Completed,Regular Guest,4,9
1654,Lisa Allen,Male,31,Russian,7/27/2017,10/7/2017,10/9/2017,1,3,2,Leisure,Completed,First-Time Visitor,4,16
1655,Lyndel Beal,Male,54,Russian,10/27/2017,1/17/2018,1/20/2018,1,3,1,Leisure,Completed,Regular Guest,3,17
1656,Larry Bohn,Male,38,Russian,9/6/2016,10/22/2016,10/23/2016,0,2,1,Business,Early Check-Out,First-Time Visitor,3,15
1657,Josephine Maldonado,Male,49,Turkish,12/17/2015,2/19/2016,2/21/2016,1,3,1,Leisure,Early Check-Out,First-Time Visitor,4,15
1658,Frank Leon,Male,45,Russian,11/28/2019,11/28/2019,11/28/2019,1,3,1,Leisure,Early Check-Out,Regular Guest,4,12
1659,Azerbaijanisca Greenberg,Male,40,Saudi Arabian,10/10/2022,12/11/2022,12/12/2022,1,3,1,Leisure,Completed,First-Time Visitor,3,15
1660,T Ferguson,Female,43,Indian,3/21/2020,5/21/2020,5/23/2020,0,2,1,Business,Early Check-Out,First-Time Visitor,4,15
1661,Darwin Mclaughlin,Male,35,Azerbaijani,9/16/2020,9/16/2020,9/17/2020,1,3,1,Leisure,Completed,First-Time Visitor,3,12
1662,Luis Rivera,Male,43,Iranian,3/16/2018,6/4/2018,6/5/2018,1,3,1,Leisure,Completed,First-Time Visitor,3,21
1663,Steve Pauly,Female,23,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,7
1664,Bernard Eichhorn,Male,30,Russian,3/16/2023,3/16/2023,3/17/2023,1,3,1,Leisure,Early Check-Out,Regular Guest,3,12
1665,Aaron and Sarah Brown,Male,22,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,Regular Guest,9,7
1666,Ms Mae Moran,Male,35,Russian,2/24/2022,4/29/2022,4/30/2022,1,3,1,Leisure,Completed,First-Time Visitor,3,15
1667,Olivia Denton,Male,43,Turkish,7/25/2019,7/27/2019,8/1/2019,1,3,1,Leisure,Completed,First-Time Visitor,5,7
1668,Mr Josiah Wooldridge,Male,65,American,11/23/2019,11/23/2019,11/24/2019,1,3,1,Leisure,Late Check-Out,First-Time Visitor,3,12
1669,Mrs Quinn Wilkinson,Male,37,Azerbaijani,6/20/2019,6/21/2019,6/25/2019,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,8
1670,David ,Female,35,Russian,11/29/2019,11/29/2019,12/6/2019,0,2,1,Corporate,Late Check-Out,First-Time Visitor,7,12
1671,Vinny Slawson Sr,Male,34,Russian,2/26/2020,3/18/2020,3/19/2020,1,3,1,Leisure,Completed,First-Time Visitor,3,16
1672,Ibrahim Compton,Male,29,Indian,3/22/2019,4/22/2019,4/25/2019,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,7
1673,Stephanie Steele,Male,39,Philippines,2/23/2021,2/23/2021,2/24/2021,1,3,1,Leisure,Early Check-Out,Regular Guest,3,12
1674,Mrs Usha Gutowski,Male,41,Turkish,3/24/2022,4/14/2022,4/15/2022,0,2,1,Business,Early Check-Out,Regular Guest,3,16
1675,Cameron Collins,Male,36,Indian,4/6/2022,5/22/2022,5/25/2022,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,15
1676,Marguerite Mckenzie,Female,20,Indian,7/19/2016,8/21/2016,8/22/2016,0,2,1,Business,Late Check-Out,First-Time Visitor,3,17
1677,Karla Duke,Male,41,Russian,8/27/2020,9/30/2020,10/4/2020,1,3,1,Leisure,Early Check-Out,First-Time Visitor,4,13
1678,Chelsea Cronin,Female,51,Russian,9/13/2019,9/17/2019,9/20/2019,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,6
1679,Katherine Lane,Male,51,English,8/12/2024,8/19/2024,8/19/2024,0,2,1,Business,Late Check-Out,First-Time Visitor,3,21
1680,Mr Troy Hayes,Male,30,Russian,8/12/2024,8/19/2024,8/19/2024,0,2,1,Business,Completed,First-Time Visitor,3,8
1681,Ralph Woods,Male,30,Azerbaijani,8/10/2024,8/17/2024,8/17/2024,1,3,1,Leisure,Completed,Regular Guest,3,9
1682,Kenneth George,Male,27,Iranian,8/9/2024,8/16/2024,8/16/2024,0,2,1,Business,Early Check-Out,First-Time Visitor,4,8
1683,Chris Brown,Female,49,Russian,8/1/2024,8/9/2024,8/9/2024,0,2,1,Corporate,Completed,First-Time Visitor,4,17
1684,Mike Stacy,Male,56,Indian,8/1/2024,8/8/2024,8/8/2024,0,2,1,Corporate,Early Check-Out,First-Time Visitor,8,17
1685,Eric Wegner,Male,39,Russian,7/22/2024,7/29/2024,7/29/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,7
1686,Adrienne Kassulke,Male,34,Russian,7/10/2024,7/17/2024,7/17/2024,0,3,1,Business,Completed,Regular Guest,5,9
1687,Dawn Moore,Male,33,Russian,7/10/2024,7/17/2024,7/17/2024,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1688,Markus Schumann,Female,41,Russian,7/1/2024,7/8/2024,7/8/2024,0,2,1,Business,Late Check-Out,First-Time Visitor,9,7
1689,Dannie Bayer,Male,58,Turkish,7/1/2024,7/8/2024,7/8/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,16
1690,John and Heather,Female,40,Indian,7/1/2024,7/8/2024,7/8/2024,0,2,1,Business,Completed,First-Time Visitor,4,12
1691,Cindy Kief,Female,45,Russian,6/17/2024,6/24/2024,6/24/2024,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,8
1692,Mrs Bettie Rosenbaum,Male,62,Russian,6/17/2024,6/24/2024,6/24/2024,1,3,1,Leisure,Early Check-Out,Regular Guest,9,7
1693,Mr Nathaniel Blakesley,Male,40,Turkish,6/16/2024,6/23/2024,6/23/2024,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1694,Jessie Moyer,Female,42,Russian,6/12/2024,6/19/2024,6/19/2024,1,3,1,Leisure,Late Check-Out,First-Time Visitor,4,13
1695,Michael,Male,44,Russian,6/12/2024,6/19/2024,6/19/2024,2,4,1,Leisure,Late Check-Out,First-Time Visitor,7,17
1696,Anthony Abel,Male,32,Russian,6/6/2024,6/13/2024,6/13/2024,1,3,1,Leisure,Completed,First-Time Visitor,4,8
1697,Scott Pharoah,Female,25,Russian,6/5/2024,6/10/2024,6/10/2024,1,3,1,Leisure,Late Check-Out,Regular Guest,9,7
1698,Rachel Koch,Male,54,Iranian,6/2/2024,6/7/2024,6/7/2024,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,17
1699,Mr Steward Mitchell,Male,49,Russian,5/24/2024,5/31/2024,5/31/2024,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,16
1700,John Yates,Male,52,Russian,5/19/2024,5/26/2024,5/26/2024,1,3,1,Leisure,Early Check-Out,First-Time Visitor,3,16
1701,Brenda Kuss,Male,48,Indian,7/1/2024,7/8/2024,7/8/2024,1,3,1,Leisure,Completed,First-Time Visitor,3,21
1702,Mr Michael Price,Male,39,Azerbaijani,6/17/2024,6/24/2024,6/24/2024,0,2,1,Business,Late Check-Out,First-Time Visitor,4,17
1703,Mr Landon Hale,Male,43,Russian,8/15/2024,8/22/2024,8/29/2024,0,2,1,Business,Late Check-Out,First-Time Visitor,3,12
1704,Jane Smith,Male,42,Azerbaijani,8/13/2024,8/20/2024,8/27/2024,1,3,1,Leisure,Completed,First-Time Visitor,6,16
1705,Lexie Doyle,Male,35,Azerbaijani,8/6/2024,8/13/2024,8/20/2024,1,3,1,Leisure,Completed,Regular Guest,9,7
1706,Glenn Rogers,Female,36,Indian,8/5/2024,8/12/2024,8/19/2024,0,3,1,Corporate,Completed,First-Time Visitor,4,16
1707,Anthony Strickland,Female,60,Turkish,7/30/2024,8/6/2024,8/13/2024,1,3,1,Leisure,Completed,Regular Guest,9,7
1708,Jonathan Keller,Male,31,Azerbaijani,7/22/2024,7/29/2024,8/5/2024,1,3,1,Leisure,Early Check-Out,Regular Guest,4,5
1709,Williamson Tiffany,Male,51,Iranian,7/17/2024,7/24/2024,7/31/2024,0,2,1,Business,Completed,First-Time Visitor,3,12
1710,Bridgett Sutherland,Female,62,Russian,7/14/2024,7/21/2024,7/28/2024,2,1,1,Leisure,Completed,First-Time Visitor,6,5
1711,Jessie Littleton,Male,26,Russian,7/12/2024,7/19/2024,7/26/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,7
1712,David Cross,Female,40,Russian,7/7/2024,7/14/2024,7/21/2024,1,3,1,Leisure,Completed,Regular Guest,6,8
1713,Julia and Samantha,Male,30,Azerbaijani,7/5/2024,7/12/2024,7/19/2024,0,2,1,Corporate,Early Check-Out,Regular Guest,4,21
1714,Darlene Fremont,Male,50,Azerbaijani,7/2/2024,7/9/2024,7/16/2024,1,3,1,Leisure,Completed,First-Time Visitor,6,12
1715,Dustin Schamberger,Male,30,Iranian,6/26/2024,7/3/2024,7/10/2024,1,3,1,Leisure,Completed,First-Time Visitor,3,9
1716,Melanie Rice,Female,42,Indian,6/23/2024,6/30/2024,7/7/2024,1,3,1,Leisure,Completed,First-Time Visitor,4,21
1717,Sarah Johnson,Male,26,Russian,6/23/2024,6/30/2024,7/7/2024,1,3,1,Leisure,Early Check-Out,Regular Guest,3,17
1718,Jenny Barber,Male,30,Azerbaijani,6/21/2024,6/28/2024,7/5/2024,0,2,1,Business,Early Check-Out,First-Time Visitor,5,21
1719,Jordan Michaels,Male,36,Indian,6/12/2024,6/19/2024,6/26/2024,1,3,1,Leisure,Completed,First-Time Visitor,7,8
1720,Linda Black,Female,49,Indian,6/11/2024,6/18/2024,6/25/2024,0,2,1,Corporate,Early Check-Out,First-Time Visitor,4,12
1721,Julie Mckenzie,Male,41,Turkish,6/11/2024,6/18/2024,6/25/2024,0,3,2,Business,Completed,First-Time Visitor,3,21
1722,Roger Lang,Male,33,Saudi Arabian,6/11/2024,6/18/2024,6/25/2024,1,3,1,Leisure,Early Check-Out,Regular Guest,7,12
1723,Jake Barnes,Male,38,Russian,6/10/2024,6/17/2024,6/24/2024,1,3,1,Leisure,Completed,Regular Guest,9,7
1724,Huang Grace,Male,25,Azerbaijani,6/10/2024,6/17/2024,6/24/2024,1,3,1,Leisure,Completed,First-Time Visitor,4,9
1725,Mr Elmer Sauer,Female,45,American,6/3/2024,6/10/2024,6/21/2024,0,3,1,Business,Early Check-Out,First-Time Visitor,3,15
1726,Jaime Morales,Male,36,Russian,6/2/2024,6/9/2024,6/20/2024,0,2,1,Business,Completed,First-Time Visitor,7,7
1727,Mr Shakil Akhtar,Female,29,Indian,6/12/2024,6/19/2024,6/26/2024,0,2,1,Business,Completed,First-Time Visitor,5,12
1728,Gabrielle Lee,Male,23,Russian,6/11/2024,6/18/2024,6/25/2024,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1729,Charlotte,Male,41,Indian,10/31/2022,11/27/2022,12/8/2022,0,2,1,Business,Early Check-Out,First-Time Visitor,33,16
1730,Jennie Steffen,Male,41,Azerbaijani,5/16/2020,5/16/2020,5/17/2020,0,2,1,Business,Early Check-Out,First-Time Visitor,3,12
1731,Roger Shaw,Male,38,Azerbaijani,12/29/2019,12/29/2019,12/30/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,12
1732,Cindy Luna,Male,24,Iranian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1733,Frederick James,Male,36,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,1,Leisure,Completed,First-Time Visitor,9,7
1734,Pearl Steinback,Male,18,Indian,5/29/2022,7/14/2022,7/24/2022,1,3,1,Leisure,Completed,First-Time Visitor,34,15
1735,Kimberly Ball,Male,28,Indian,8/31/2019,9/26/2019,9/27/2019,0,2,1,Business,Completed,Regular Guest,3,9
1736,John Smith,Male,35,Russian,3/16/2019,3/26/2019,4/2/2019,0,2,1,Business,Completed,Regular Guest,7,21
1737,KURTIS FIGUEROA,Male,25,Saudi Arabian,9/18/2022,10/12/2022,10/19/2022,1,3,1,Leisure,Early Check-Out,First-Time Visitor,7,9
1738,Hanifah Fearn,Female,32,Turkish,11/20/2019,11/24/2019,11/27/2019,1,3,1,Leisure,Completed,First-Time Visitor,3,6
1739,Alexis Rozo,Female,45,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Early Check-Out,First-Time Visitor,9,7
1740,Gary Jennifer ,Male,34,Iranian,10/20/2016,10/21/2016,10/23/2016,1,3,1,Leisure,Completed,Regular Guest,4,8
1741,Odessa Gomez,Male,24,Russian,3/24/2019,5/25/2019,5/26/2019,1,3,1,Leisure,Completed,Regular Guest,3,15
